metric,bootstrap_lower_2_5,bootstrap_upper_97_5
f1_macro,0.7706270770088356,0.8604442246024423
weighted_kappa,0.8580044738392991,0.9082090106349239
ordinal_mae,0.1311875,0.20631249999999995
recall_alta,0.7929292929292929,0.8864898989898989
recall_urgente,0.8235294117647058,1.0
auc_roc_ovr_macro,0.9476601780523639,0.9729764136198127
auprc_alta,0.92997543104677,0.9721996155147208
auprc_urgente,0.7349059656163055,0.9711011401636196
multiclass_brier,0.20569367681024975,0.2938154120409872
multiclass_log_loss,0.36241557794073365,0.6273210596386464
brier_highurgent,0.043485381076397746,0.07551693357843652
log_loss_highurgent,0.14947497340177507,0.2607102007594577
calibration_intercept,0.2356766581620333,1.0359114935831626
calibration_slope,0.8075777998215792,1.3258153739898964
