metric,bootstrap_lower_2_5,bootstrap_upper_97_5
f1_macro,0.7989783572811223,0.8554115586838874
weighted_kappa,0.8664115365430475,0.895912088186133
ordinal_mae,0.1519140625,0.1921875
recall_alta,0.7897058823529411,0.8730968858131488
recall_urgente,0.800735294117647,1.0
auc_roc_ovr_macro,0.9526200714953258,0.9707463226233211
auprc_alta,0.9142569949752563,0.9693341482101202
auprc_urgente,0.7928083728078215,0.9548836544357602
multiclass_brier,0.21537440202892139,0.27082595958818956
multiclass_log_loss,0.3777617559929303,0.5166789182731428
brier_highurgent,0.049347483607012126,0.07149738316904984
log_loss_highurgent,0.16605663533806408,0.24731033871358882
calibration_intercept,0.24196513854178822,0.8016811193295761
calibration_slope,0.8722233544472907,1.4029659712362796
