metric,bootstrap_lower_2_5,bootstrap_upper_97_5
f1_macro,0.864799461659144,0.9186774133963929
weighted_kappa,0.8786099074976172,0.9319429241090575
ordinal_mae,0.0875,0.1371484375
recall_alta,0.9065743944636678,0.9515570934256056
recall_urgente,0.7125,0.9345588235294117
auc_roc_ovr_macro,0.9692751344598011,0.9826760015844308
auprc_alta,0.9593207374331859,0.9864750911049147
auprc_urgente,0.8196542519239682,0.9764929988008122
multiclass_brier,0.1535935104907251,0.20053205332268312
multiclass_log_loss,0.2901837791696574,0.3632718479867341
brier_highurgent,0.03650974460451721,0.05102308566903816
log_loss_highurgent,0.13582083650567883,0.17615793333382243
calibration_intercept,-0.18977023995089243,0.5750703044333644
calibration_slope,1.297902973164934,1.8321926679911065
