metric,bootstrap_lower_2_5,bootstrap_upper_97_5
f1_macro,0.4543263505155103,0.5303191026703491
weighted_kappa,0.6927208184294994,0.7451289146360144
ordinal_mae,0.4362890625,0.513515625
recall_alta,0.43944636678200694,0.5605536332179931
recall_urgente,0.4117647058823529,0.7580882352941176
auc_roc_ovr_macro,0.81660336780619,0.8595424715657948
auprc_alta,0.7334482882458149,0.8290017228815642
auprc_urgente,0.13711628945207546,0.3434114983572056
multiclass_brier,0.5589790093526271,0.5939455950951658
multiclass_log_loss,0.9158656738290029,0.9719169482774317
brier_highurgent,0.0796897203671643,0.09836360687705141
log_loss_highurgent,0.28113180026637585,0.3260244778520486
calibration_intercept,-0.028320822113071395,0.5521382506333757
calibration_slope,1.7026115033033529,2.3087798540433497
