metric,bootstrap_lower_2_5,bootstrap_upper_97_5
f1_macro,0.8495877440286116,0.9041856240083532
weighted_kappa,0.8867998374851059,0.9211989353254406
ordinal_mae,0.1128515625,0.1621484375
recall_alta,0.8562283737024221,0.9238754325259516
recall_urgente,0.7713235294117646,0.963970588235294
auc_roc_ovr_macro,0.9677442977544444,0.9819518771663553
auprc_alta,0.9682781190902077,0.984117851487898
auprc_urgente,0.8280325080604106,0.9956844883702469
multiclass_brier,0.19903199162435561,0.24594366019479386
multiclass_log_loss,0.3892404232657295,0.45150116657710765
brier_highurgent,0.05758926695808594,0.07258665808414724
log_loss_highurgent,0.21564570440416306,0.25427230973292275
calibration_intercept,0.38794963450707665,1.133655080008847
calibration_slope,2.0280362473691285,2.7678982288748215
