metric,bootstrap_lower_2_5,bootstrap_upper_97_5
f1_macro,0.8724567787656056,0.9246811336402186
weighted_kappa,0.8873429573466386,0.9396502566657068
ordinal_mae,0.0800390625,0.1303515625
recall_alta,0.9046712802768165,0.9576989619377163
recall_urgente,0.7352941176470589,0.9705882352941176
auc_roc_ovr_macro,0.9735255553391298,0.9854555808035999
auprc_alta,0.9572701011145137,0.9886363617606061
auprc_urgente,0.849827311140445,0.9755153852585812
multiclass_brier,0.14137848863956629,0.19042679984810854
multiclass_log_loss,0.26664491695977843,0.3432394245592083
brier_highurgent,0.034541699183304894,0.04829634120563607
log_loss_highurgent,0.12864994236638258,0.16546522719127063
calibration_intercept,-0.20560240425605453,0.5890026738762109
calibration_slope,1.3726279137910669,1.945460216530653
