metric,bootstrap_lower_2_5,bootstrap_upper_97_5
f1_macro,0.747495492288238,0.8495175959608188
weighted_kappa,0.8154000047716459,0.8890693022581948
ordinal_mae,0.1311875,0.20012499999999997
recall_alta,0.8862373737373738,0.9545454545454546
recall_urgente,0.4551470588235294,0.7507352941176468
auc_roc_ovr_macro,0.9536434585821099,0.9754087381889214
auprc_alta,0.9527767968531559,0.9818603623425961
auprc_urgente,0.6972516921671692,0.9680251575236627
multiclass_brier,0.1915230186309622,0.2664921506011079
multiclass_log_loss,0.3395417352877214,0.46034294977811085
brier_highurgent,0.04352612616911591,0.06940639305639476
log_loss_highurgent,0.15138772721903895,0.223693091680827
calibration_intercept,-0.4506723166532066,0.3292879400239502
calibration_slope,1.0374906706339553,1.508930390324255
