metric,bootstrap_lower_2_5,bootstrap_upper_97_5
f1_macro,0.8554817083242405,0.9105926446555694
weighted_kappa,0.883777601891001,0.9281254594632794
ordinal_mae,0.103125,0.163359375
recall_alta,0.857006920415225,0.9292387543252596
recall_urgente,0.8301470588235293,0.9705882352941176
auc_roc_ovr_macro,0.9643992812178045,0.9793933115014928
auprc_alta,0.9653202226316157,0.9831543228514511
auprc_urgente,0.7885670710570003,0.985481056364315
multiclass_brier,0.20606265704332605,0.25394270838560334
multiclass_log_loss,0.401562939168589,0.4663488038495255
brier_highurgent,0.056667410472056624,0.07221324829539764
log_loss_highurgent,0.2124988068737357,0.2524481579788076
calibration_intercept,0.4067990089448714,1.2435517004965138
calibration_slope,2.103541778834762,3.0810182522225014
