metric,bootstrap_lower_2_5,bootstrap_upper_97_5
f1_macro,0.8032409687991835,0.8798997720610843
weighted_kappa,0.8594088374471289,0.9128277397316287
ordinal_mae,0.11368750000000001,0.17381249999999995
recall_alta,0.9037878787878788,0.9696969696969697
recall_urgente,0.6470588235294118,0.9117647058823529
auc_roc_ovr_macro,0.9617403470678783,0.9796715588692478
auprc_alta,0.961921841024478,0.9860970071394486
auprc_urgente,0.6919958900254302,0.9693351859982677
multiclass_brier,0.22728630587146056,0.27344556860997565
multiclass_log_loss,0.4255775678134316,0.49074043973060033
brier_highurgent,0.05837513111321685,0.07778558794378801
log_loss_highurgent,0.22269019713549465,0.2675099805271348
calibration_intercept,-0.5198699418602087,0.21467151532102943
calibration_slope,2.4315504162221315,4.397992742168271
