metric,bootstrap_lower_2_5,bootstrap_upper_97_5
f1_macro,0.6724212883851812,0.7817805549249346
weighted_kappa,0.7888619708830256,0.859053096360497
ordinal_mae,0.1786875,0.2513125
recall_alta,0.8556818181818182,0.9494949494949495
recall_urgente,0.4411764705882353,0.7352941176470589
auc_roc_ovr_macro,0.9350804386110162,0.9610789877853015
auprc_alta,0.9376664270736215,0.9778158435519814
auprc_urgente,0.6615098790454348,0.9415908765003081
multiclass_brier,0.2472045078388356,0.3291166236637801
multiclass_log_loss,0.4234695887162318,0.5398454361059084
brier_highurgent,0.04864661489752561,0.07469062862921258
log_loss_highurgent,0.17172041498072974,0.24112268678061205
calibration_intercept,-0.4040571827657607,0.2651930338517853
calibration_slope,1.0755879511482622,1.5786679610631233
