metric,bootstrap_lower_2_5,bootstrap_upper_97_5
f1_macro,0.7551790216861888,0.842756552201226
weighted_kappa,0.8445729675997407,0.898326476697482
ordinal_mae,0.145,0.22381249999999997
recall_alta,0.8054292929292929,0.9040404040404041
recall_urgente,0.7941176470588235,1.0
auc_roc_ovr_macro,0.9263128894058626,0.9594713136049152
auprc_alta,0.9222170274201316,0.96865700750639
auprc_urgente,0.7756187120686275,0.9728496557727594
multiclass_brier,0.2478109738766925,0.3404752904377042
multiclass_log_loss,0.42415024771827314,0.6183867172465974
brier_highurgent,0.055180837208800335,0.08440642372632128
log_loss_highurgent,0.19380318918748482,0.2694304562291258
calibration_intercept,0.2074280119515307,0.8364010699832627
calibration_slope,0.9064505782921868,1.3696714021677279
