metric,bootstrap_lower_2_5,bootstrap_upper_97_5
f1_macro,0.4541939022918878,0.5643327912872647
weighted_kappa,0.6348581436508295,0.7243229164363839
ordinal_mae,0.2861875,0.3625
recall_alta,0.8686868686868687,0.9444444444444444
recall_urgente,0.058823529411764705,0.2801470588235292
auc_roc_ovr_macro,0.7747952327522966,0.8446211494874705
auprc_alta,0.7781746838042857,0.8682485403020969
auprc_urgente,0.14186516433795163,0.3676825412901851
multiclass_brier,0.4235974766262884,0.4922975158943664
multiclass_log_loss,0.7514643493883874,0.899557025796761
brier_highurgent,0.06224777808018934,0.09547951116177615
log_loss_highurgent,0.21336388218749006,0.31734598690733856
calibration_intercept,-0.39375655850329,0.20200591964399242
calibration_slope,0.8308863516110239,1.1858248596139207
