metric,bootstrap_lower_2_5,bootstrap_upper_97_5
f1_macro,0.6887230387728264,0.7960414731014958
weighted_kappa,0.7771995571319011,0.856991151937183
ordinal_mae,0.1761875,0.24381249999999996
recall_alta,0.8737373737373737,0.9571969696969697
recall_urgente,0.38235294117647056,0.6919117647058821
auc_roc_ovr_macro,0.9323260071144331,0.9586000839887932
auprc_alta,0.935908464406971,0.9693360360280121
auprc_urgente,0.6513087916120301,0.9113090288616489
multiclass_brier,0.30749478204029673,0.35428036570951826
multiclass_log_loss,0.5611920356923717,0.6286146549438554
brier_highurgent,0.06895375511986314,0.08869972392222973
log_loss_highurgent,0.25621032007963784,0.3045706032128943
calibration_intercept,-0.38212980020672244,0.2822707099828476
calibration_slope,2.1236404511764952,3.172310735705981
