metric,bootstrap_lower_2_5,bootstrap_upper_97_5
f1_macro,0.8161927901886532,0.8721758584029419
weighted_kappa,0.8764792820847973,0.9067342101793148
ordinal_mae,0.135078125,0.1762109375
recall_alta,0.8181660899653979,0.8823529411764706
recall_urgente,0.800735294117647,1.0
auc_roc_ovr_macro,0.958695046655431,0.9733267550197523
auprc_alta,0.9464077655298797,0.9750733609725559
auprc_urgente,0.834173680895137,0.9779586007372622
multiclass_brier,0.20354342271781123,0.25192484668735804
multiclass_log_loss,0.3468590560625106,0.44918338697284443
brier_highurgent,0.04871263899083258,0.06825410290065062
log_loss_highurgent,0.16253653816442612,0.21479589506657937
calibration_intercept,0.24805792805327995,0.7734593508552977
calibration_slope,1.0536821128470495,1.4821370751153864
