metric,bootstrap_lower_2_5,bootstrap_upper_97_5
f1_macro,0.46331081922204,0.5289971675453432
weighted_kappa,0.690027348522409,0.7650873647364765
ordinal_mae,0.290625,0.3630078125
recall_alta,0.8527681660899654,0.9188581314878893
recall_urgente,0.0,0.0
auc_roc_ovr_macro,0.8245005283867685,0.8726838409478164
auprc_alta,0.8161655642923941,0.8812465885925435
auprc_urgente,0.1049761964354688,0.18706591901084046
multiclass_brier,0.402824157791208,0.4592775917113261
multiclass_log_loss,0.6891444163475862,0.7913258618391869
brier_highurgent,0.061991129332762476,0.08593647822679772
log_loss_highurgent,0.20153141622280182,0.26906222989075307
calibration_intercept,-0.34426090418608685,0.3211651252605694
calibration_slope,0.891935449021363,1.109385725170558
