metric,bootstrap_lower_2_5,bootstrap_upper_97_5
f1_macro,0.43075764726897464,0.5187602874444995
weighted_kappa,0.6598190642444209,0.7218892125084646
ordinal_mae,0.46618750000000003,0.5475
recall_alta,0.4138888888888889,0.5430555555555555
recall_urgente,0.42573529411764705,0.7507352941176468
auc_roc_ovr_macro,0.7915715287697774,0.8412288793738647
auprc_alta,0.6987803266279219,0.8131591422454779
auprc_urgente,0.18653281238818173,0.37816144406391083
multiclass_brier,0.5797941157880564,0.6365909647341269
multiclass_log_loss,0.9435599361877733,1.0225800980588668
brier_highurgent,0.08048972094801966,0.10544366825528327
log_loss_highurgent,0.2832181108526265,0.3425138506396398
calibration_intercept,0.034736181155797324,0.6090313812539679
calibration_slope,1.582809040793258,2.2680074483032335
