metric,bootstrap_lower_2_5,bootstrap_upper_97_5
f1_macro,0.47337025760461293,0.5910279983003156
weighted_kappa,0.6879037234381198,0.7562279506558283
ordinal_mae,0.3286875,0.41131249999999997
recall_alta,0.7751262626262626,0.8737373737373737
recall_urgente,0.19044117647058822,0.5
auc_roc_ovr_macro,0.8054784145446853,0.8555827655403768
auprc_alta,0.7762875555435342,0.8689300642922205
auprc_urgente,0.17933729399084347,0.41982360374926436
multiclass_brier,0.4700722048768321,0.5112368943487561
multiclass_log_loss,0.8000445517913268,0.8639447462040615
brier_highurgent,0.07529486500655544,0.1015344450389093
log_loss_highurgent,0.26715940145976164,0.32967899842942094
calibration_intercept,-0.03390401532283692,0.5504371245892288
calibration_slope,1.458043486127784,2.2604321248932373
